id,"title","authors","venue","year"
3691,"the flag taxonomy of open hypermedia systems . hypertextÃ¢ Â¹ 96 proceedings","k osterbye , uk wiil","","1996.0"
3692,"eden : an engine for definitive notation-design , implementation and evaluation","yey wai","msc thesis , department of computer science , university of",""
3693,"parallelism in a main-memory dbms : the performance of prisma/db","pmg apers , an wilschut , j flokstra","proceedings of the 18th vldb conference ,",""
3694,"positron-emission tomography and personality disorders","pf goyer , pj andreason , we semple , ah clayton","neuropsychopharmacology-san diego - ,","1994.0"
3695,"an approach to the study of ecological relationships among grassland birds","ja wiens","","1966.0"
3696,"removing permissions in the flexible authorization framework","d wijesekera , s jajodia , f parisi-presicce , a","acm transactions on database systems ,","2003.0"
3697,"a distributed execution environment for shared java objects","n erdogan , ye selcuk , o sahingoz","information and software technology ,","2004.0"
3698,"do electronic site licenses for academic journals benefit the scientific community ?","ct bergstrom , tc bergstrom","",""
3699,"towards effective software abstractions for application engineering","r girardi","procs . nasa focus on reuse workshop , sept ,",""
3700,"a complete regulatory loop between the immune and neuroendocrine systems","je blalock , em smith","fed proc ,","1985.0"
3701,"quest for machines that think","c lindquist","computerworld ,",""
3702,"observations of semidiurnal atmospheric tides using the eiscat incoherent scatter radar ( abstract","a huuskonen , t nygren","proceedings of the 25 th annual conference of the finnish & hellip ; ,","1991.0"
3703,"transcranial magnetic stimulation for the treatment of obsessive-compulsive disorder","jl martin , mj barbanoj , v perez , m sacristan","cochrane database syst rev ,","2003.0"
3704,"abundance and distribution of harbor porpoise ( phocoena phocoena ) in southeast alaska , cook inlet","m dahlheim , a york , j waite , c goebel-diaz","md ,",""
3705,"multimedia data base management : applications and a position paper","s christodoulakis","proc . of the acm sigmod conf ,",""
3706,"1993","a cypher","watch what i do : programming by",""
3707,"multiresolution mesh morphing","awf lee , d dobkin , w sweldens , p schroder","",""
3708,"paradox 7 : powerful 32-bit database build for developers","s riccardi","pc magazine south",""
3709,"transnational diffusion and the african american reinvention of gandhian repertoire","s chabot","mobilization-san diego - ,","2000.0"
3710,"adding mobility to non-mobile web robots","np sudmann , d johansen","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,","2000.0"
3711,"the theory of sound","jws rayleigh","","1945.0"
3712,"reuse strategies in software development : an empirical study","a pohthong , d budgen","information & software technology ,","2001.0"
3713,"heterogeneous parallel architecture for improving signal processing performance in doppler blood","dfg nocetti , js gonzalez , jm flores , dr hernÃ£ Â¡ ndez","proceedings of the 4th international workshop on parallel & hellip ; ,","1996.0"
3714,"managing change requests effectively","d bustard , a sweeney","software quality management-international conference - ,","1997.0"
3715,"optimal allocation of electronic content","i cidon , s kutten , r soffer","computer networks ,","2002.0"
3716,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , ja stankovic , dt","sigmod record ,","1996.0"
3717,"the influence of mechanical stress on graft healing in a bone tunnel","k yamakado , k kitaoka , h yamada , k hashiba , r","arthroscopy-new york - ,","2002.0"
3718,"an architecture for a relational dataflow database machine","l bit , m herendeen","joint proc . sigmod symp . small syst . workshop small database & hellip ; ,",""
3719,"hellenic wiscÃ¢ ?? iii","d georgas , in paraskevopoulos , hg bezevegis , nd","athens , greece : ellinika grammata ,",""
3720,"strongly nonlinear internal solitionsÃ¢ ?? analytical models and fully nonlinear computaitons","j grue , la ostrovsky","","2001.0"
3721,"uniform object modeling methodology and reuse of real-time system using uml","bm duc","proceedings of the 5th acm international conference on & hellip ; ,","2005.0"
3722,"a query language and optimization techniques for unstructured dataÃ¢ '' in sigmod","p buneman , s davidson , g hillebrand , d suciu","san diego ,",""
3723,"structural digital image signature for image authentication : an incidental distortion resistant","cs lu , hym liao","proc . acm multimedia workshop ,",""
3724,"combined thermionic and photoelectric emission from dispenser cathodes","dw feldman , a valfells , j neumann , j harris , b","",""
3725,"interview with authors","b landing","san diego ,",""
3726,"interactional drama : a path to the past .","tn turner , d hendricks","social studies and the young learner ,","1989.0"
3727,"estimate of the degree of contamination of water during storage of vitrified radioactive wastes in","li anisimova , vv kulichenko , nv krylova , lb","at .",""
3728,"science in the courts : a comparative analysis of admissibility standards and their impact on the","si gatowski , sa dobbin , jt richardson , gp ginsburg","ivth european congress of psychology , athens , greece , july ,",""
3729,"robust admission control for heterogeneous atm systems with both cell and call qos requirements","d mitra , mi reiman , j wang","proc .",""
3730,"1990 : maternal and child health data base descriptive narrative","rl williams","santa barbara , ca : university of california at santa barbara & hellip ; ,",""
3731,"the self-sufficiency project at 36 months : effects of a financial work incentive on employment and","c michalopoulos , d card , la gennetian , k harknett ,","","2000.0"
3732,"an approach to object sharing in distributed datbase systems","p lyngbaek , d mcleod","vldb ,","1983.0"
3733,"zoe , postcards from canada , austin , tx : steck-vaughn company , 1996","f dawson","",""
3734,"on constant-weight tsp-tours","s jones","",""
3735,"topologies with rocketfuelÃ¢ ''","n spring , r mahajan , d wetherall , isp measuring","proceedings of acm",""
3736,"tissue-engineered growth of bone and cartilage","ca vacanti , w kim , j uptonÃ¢ ? Â¦","","1993.0"
3737,"the kalpa-sutra","w schubring , ms burgess","","1910.0"
3738,"and - \ \ phi primitives","jh anderson , yj kim , lmeu fetch","proceedings of the 23rd international conference on",""
3739,"cryptic crossword clue interpreter","m hart , rh davis","information and software technology ,","1992.0"
3740,"a service learning research agenda for the next five years","de giles jr , j eyler","new directions for teaching and learning ,","1998.0"
3741,"laser physics : x-ray lasers , ultrashort pulses , strong laser systems","av borovsky , al galkin","","1996.0"
3742,"whiteness and americanness : examining constructions of race , culture , and nation in white womenÃ¢ ?? s","r frankenberg","see ref ,",""
3743,"rainforest-a framework for fast decision tree construction of","l datasets","",""
3744,"qc-trees : an effective summary structure for semantic olap","lvs lakshmanan , j pei , y zhao","proceedings of the 2003 acm sigmod international conference & hellip ; ,",""
3745,"institutional preventive stress management .","jc quick","new directions for teaching and learning ,","1987.0"
3746,"move over , ascii ! unicode is here","c petzold","pc magazine ,",""
3747,"particleboard with different content of releasable formaldehyde : a comparison of the board","b sundin","proc 21st int particleboard symp , washington ,",""
3748,"index of subjects bound variable","e williams","",""
3749,"efficient group signature schemes for large groups","j camenisch , m stadler","lecture notes in computer science ,","1997.0"
3750,"db2 query parallelÃ¢ ?? ism : staging and implement at ion","y wang","",""
3751,"the $ 2,000 hour : how managers influence project performance through the rework cycle","kg cooper","project management journal ,","1994.0"
3752,"temporal management of rfid data","f wang , p liu","proceedings of the 31st international conference on very & hellip ; ,","2005.0"
3753,"27 good reasons to buy a cd-rom player","r raskin","pc magazine-american edition - ,","1992.0"
3754,"evaluation of compacted area of heavy tamping by cone point resistance","a oshima , n takada","proc. , int . conf . centrifuge ,",""
3755,"m. , de vrics , g ; , fozard , jl and coleman , r. user interfaces for young and old , interactions , iv . 2","u biouwer-janse , s md , y jf","proc . of acm",""
3756,"the technology of error-correcting codes","er berlekamp","ieee , proceedings ,","1980.0"
3757,"efficient generation of broadcast schedules","wg yee , sb navathe","submitted for publication ,",""
3758,"dynamische messung des relativen gasgehalts in blasensÃ£ $ ulen mittels absorption von rÃ£ Â¶ ntgenstrahlen","r beinhauer","","1971.0"
3759,"interpreting critical issues : comparing past and modern plagues","m zarnowski","social studies and the young learner ,","1997.0"
3760,"privacy and security of data communications and data bases","dk hsiao , ds kerr , se madnick","vldb surveys ,","1978.0"
3761,"forest-regular languages and tree-regular languages","m murata","unpublished manuscript ,",""
3762,"safely and efficiently update references during on-line reorganization , vldb '98","c zou , b salzberg","proceedings of 24th international conference on very large & hellip ; ,",""
3763,"some recent studies on the polysaccharides of agarophytes","c araki","proc . int . seaweed symp ,",""
3764,"airway compromise and delayed death following attempted central vein injection of propylhexedrine","j perez , bt burton , jg mcgirr","journal of emergency medicine ,","1994.0"
3765,"workflow management with service quality guarantees","m gillmann","",""
3766,"john hancock presentation at the private long-term care insurance conference","m cheung","san diego , ca ,",""
3767,"cultivating an integrated curriculum : the school garden","ja braun","social studies and the young learner ,","1989.0"
3768,"the use of state tying in continuous speech recognition","sj young , pc woodland","proc . eurospeech ,",""
3769,"ernesn 2000 biomagnetic systems for clinical use","s della penna , c del gratta , c granata , a","phil .",""
3770,"and now ... the answers ! how to deal with conflict in higher education","sa holton","new directions for higher education ,","1995.0"
3771,"512 1 includes 2 meters of fiber","lx pmd","",""
3772,"measurement-based guidance of software projects using explicit project plans","cm lott , hd rombach","",""
3773,"an introduction to high strength commercial waste . stuth co , inc. and aqua test","wl stuth , c garrison","inc. project . seattle , washington ,",""
3774,"induced epizootics : protozoa","wm brooks","see ref ,",""
3775,"c. , and cochrane , pa 1996","ab singhal","proc . of acm",""
3776,"a hidden markov model based keyword recognition system","rc rose , db paul","",""
3777,"multisite evaluations of health care policies and programs","ja freedman","new directions for program evaluation ,","1991.0"
3778,"calculation of the influence of an electric field on the free energy of formation of a nucleus","jo isard","phil . mag ,",""
3779,"concurrency control for distributed real-time databases","lsr rajkumar , jp lehoczky","acm sigmod record ( mar. .",""
3780,"combating web spam with trustrank","z gyongyi , h garcia-molina , j pedersen","proceedings of the international conference on very large & hellip ; ,","2004.0"
3781,"response to '' remarks on two new theorems of date and fagin","cj date","sigmod record ,","1993.0"
3782,"communicating x-machines","j barnard , j whitworth , m woodward","information and software technology ,","1996.0"
3783,"six keys to effective instruction in large classes : advice from a practitioner .","j aronson","new directions for teaching and learning ,","1987.0"
3784,"some relationships between the biochemistry of photosynthesis and the gas exchange of leaves","s caemmerer , gd farquhar","planta ,","1981.0"
3785,"real-time skin rendering on graphics hardware","pv sander , d gosselin , jl mitchell","proceedings of acm siggraph ,","2004.0"
3786,"case study : on-site management in willard , new mexico","c van lenten","national on-site demonstration program , national & hellip ; ,",""
3787,"a regularization technique for nonlinear ill-posed problems applied to myocardial activation time","r modre","technical university graz. , doctor thesis ,",""
3788,"wb vearson","jp jan , wb pearson","phil . mag ,",""
3789,"more accurate equation for analyzing by the radial averaging method the separation of a binary","vi tokmantsev","at .",""
3790,"fabrication of sicÃ¢ ?? bn composite particles by fluidized-bed cvd and its applications","j hojo , w nabekura , k kishi , s umenayashi","see",""
3791,"grid computing : case studyÃ¢ ?? entelos","c metz","pc",""
3792,"nÃ¢ ? Â² dow , j. : urinary diversion and bladder reconstruction/replacement using intestinal segments for","sm yong , n dublin , r pickard , dj cody , de neal","cochrane database syst",""
3793,"intershop : a distributed architecture or electronic shopping","jb baty , rm lee","proceedings of the international conference on information & hellip ; ,","1995.0"
3794,"social justice , sexuality , and the city","l knopp","urban geography ,","1994.0"
3795,"the halo effect and technology licensing : the influence of institutional prestige on the licensing","wd sine , s shane , d di gregorio","management science ,","2003.0"
3796,"in : crawford dl ( ed . ) the iraf data reduction and analysis system , instrumentation in astronomy vi","d tody","proc . spie ,",""
3797,"microsoft site server ( commerce edition )","b ojjeh","",""
3798,"the first year of college teaching","ld fink","new directions for teaching and learning ,","1984.0"
3799,"the changing information needs of users in electronic information environments","g kebede","electronic library ,","2002.0"
3800,"putting social studies back into early primary classrooms .","ek stuckey","social studies and the young learner ,","1990.0"
3801,"data movement and control substrate for parallel scientific computing","n chrisochoides , i kodukula , k pingali","lecture notes in computer science ,","1997.0"
3802,"westlake and irvine , california : paradigms for the 21 st century ?","dg kane","","1996.0"
3803,"understanding bgp misconfigurations","d wetherall , r mahajan , t anderson","proc . acm sigcomm ,",""
3804,"the devolution of immigration regimes in europe","g lahav , v guiraudon","& hellip ; community studies association meeting , seattle washington & hellip ; ,",""
3805,"creating community within individual courses","aw chickering","new directions for higher education ,","2000.0"
3806,"iterative algebras and postÃ¢ ?? s varieties . ( russian )","ai malÃ¢ ?? tsev","algebra i logika ,",""
3807,"the spatial configuration of the firm and the management of sunk costs ( * ) .","gl clark , n wrigley","economic geography ,","1997.0"
3808,"solution of the equation ax + xb = c","rh bartels , gw stewart","comm . acm ,",""
3809,"testing the distribution of nonstationary mri data","sj kisner , tm talavage","",""
3810,"uk team surveys web-based visualization","k brodlie , s lovegrove , j wood","proceedings of acm siggraph 2000 ,",""
3811,"observations of optical counterparts of gamma-ray bursts","fk knight","","1992.0"
3812,"case studies on real options","agz kemna","",""
3813,"geologic map of the figueroa mountain quadrangle","twj dibblee","dibblee geological foundation : santa barbara , california ,",""
3814,"planimetry study of the percent of body surface represented by the hand and palm : sizing irregular","r sheridan , l petra , g basha","journal of emergency medicine ,","1996.0"
3815,"functional and inclusion dependencies a graph theoretic approach","ss cosmadakis , pc kanellakis","proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,","1984.0"
3816,"tenncare : the impact of state health care reform on emergency patients and caregivers .","kd hulen , lm beeler","journal of emergency nursing ,","1995.0"
3817,"mathematizing , modeling , and communicating in reform classrooms progress report","p cobb , e yackel , kpe gravemeijer","unpublished manuscript ,",""
3818,"assessing students ' problem-solving assignments","rs anderson , jb puckett","new directions for teaching and learning ,","2003.0"
3819,"ibcÃ¢ ?? s 2nd annual symposium on exploting enyzme technology for industrial applications","x zhu , cm lewis , mc haley , mb bhatia , s pannuri , s","san diego , usa ,",""
3820,"alkaline metal complexes as electron-injecting layer in organic el devices","j endo , j kido , t matsumoto","proc . int . conf . adv. tech . polym. ,",""
3821,"federal agencies fail security test","l didio","computerworld ,",""
3822,"report on the 1995 international workshop on temporal databases","a segev , cs jensen , rt snodgrass","sigmod record ,","1995.0"
3823,"specification and verification of pipelining in the arm 2 risc microprocessor","jk huggins , d van campenhout","acm transactions on design automation of electronic systems ,","1998.0"
3824,"non-steroidal anti-inflammatory drugs ( nsaids ) for treating lateral elbow pain in adults","s green , r buchbinder , l barnsley , s hall , m white","cochrane database syst rev ,","2002.0"
3825,"source acm transactions on database systems ( tods ) archive","g wiederhold","acm transactions on database systems ( tods ) ,","1990.0"
3826,"the development of an instrument for inventorying knowledge of the processes of science","ww welch","","1966.0"
3827,"non-parametric models in the monitoring of engine performance and condition part 2 : non-intrusive","f gu , pj jacob , ad ball","",""
3828,"a global standard at black & decker","s kolodziej","computerworld ,",""
3829,"ultrastructural cytochemical properties of elastinassociated microfibrils and their relation to","t baba , m takagi , a kagami , h hishikawa , y","the histochemical journal ,","1988.0"
3830,"an algorithm for the fusion of correlated probabilities","jo ` brien","procs . of fusion ,",""
3831,"avatar motion control by user body postures","s yonemoto , h nakano , r taniguchi","proceedings of the eleventh acm international conference on & hellip ; ,","2003.0"
3832,"ras-mediated activation of rala/phospholipase d pathway is required for the growth-promoting effects","z lu , a hornia , t sukezane , m zhong , t joseph , p","submitted for",""
3833,"incremental distance join algorithms for spatial databases","grhh samet","proc . of the acm sigmod",""
3834,"hash-based ip tracback","ac snoeren , c partridge , la sanchez , ce jones , f","proceedings of acm sigcomm 2001 ,",""
3835,"national genetic resources program . germplasm resources information network - ( grin ) . [ online database ]","ars usda","",""
3836,"mercury in the environment : problems and remedial measures in sweden","epa swedish","","1991.0"
3837,"secure","b allcock , j bester , j bresnahan , al chervenak , i","& hellip ; transport and replica management for high-performance data - & hellip ; ,","2001.0"
3838,"sex role adaptability : one consequence of psychological androgyny","sl bern","journal of personality and social psychology ,",""
3839,"cj & whelan , mj ( 1977 )","p rez , cj humphreys","phil . mag ,",""
3840,"library use and the development of critical thought .","sh plum","new directions for teaching and learning ,","1984.0"
3841,"infrared plasma diagnostics with lasers","e holzhauer","& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,","1976.0"
3842,"computer algebra on mimd machine","jl roch , p senechaud , f sievert-rich , g villard","acm sigsam bulletin ,","1989.0"
3843,"integer programming formulation of traveling salesman problems","ce miller , aw tucker , ra zemlin","journal of the acm ( jacm ) ,","1960.0"
3844,"restoring the nationÃ¢ ?? s marine environment . maryland sea grant college program , college park","gw thayer","md ,",""
3845,"may 1979","jl white , n perspective","mit laboratory for computer science , from proceedings of the",""
3846,"efficient prolog access to codaysl and fdm databases","pmd gray","proceedings of the 1985 acm sigmod international conference & hellip ; ,","1985.0"
3847,"what should introductory courses do ? .","mw gregory","new directions for teaching and learning ,","1984.0"
3848,"proactive caching of dns records : addressing a performance bottleneck","e cohen , h kaplan","computer networks ,","2003.0"
3849,"self-similarity in the web","d stephen , k ravi , m kevin , r sridhar , d sivakumar","proc . vldbÃ¢ ?? 01 ,",""
3850,"examining metrics for peer-to-peer reputation systems","s marti , h garcia-molina","",""
3851,"complexity and the social","w medd","",""
3852,"thor userÃ¢ ?? s manual : tutorial and commands","ra hi , t blank , k choi , sy hwang , a salz , l soule ,","technical report csl-tr-88-348 , stanford university , stanford ,",""
3853,"64-channel wdm wavelength-selective receiver monolithically integrated on inp substrate","n kikuchi , y shibata , h okamoto , y kawaguchi , s","proc . 28th eur . conf . on opt .",""
3854,"user needs assessment and evaluation ( working session )","d levy","proceedings of the first acm international conference on & hellip ; ,","1996.0"
3855,"critical thinking and design : evolution of a freshman engineering graphics course","la sanchez , tk hight , j gainen","new directions for teaching and learning ,","1994.0"
3856,"objective distance measures for spectral discontinuities in concatenative speech synthesis","j vepa , s king , p taylor","",""
3857,"maha : a program for datapath sunthesis","ac parker , jt pizzarro , m mlinar","proc . ieee/acm",""
3858,"needha chair 's message","m hagler","ieee edsoc/asee ee div . '' newsletter '' , spring",""
3859,"sevcik : the grid file","h nievergelt","acm tods ,",""
3860,"scalable high speed ip muting lookups [ a ]","m waldvogel , g varghese , j turnerÃ¢ ? Â¦","proc acm sigcomm ,",""
3861,"dynamic performance of robot manipulators under different operating conditions","ay zomaya","",""
3862,"making sense of oneÃ¢ ?? s experience in the workplace","s van stralen","new directions for adult and continuing education ,","2002.0"
3863,"expert judgement as an estimating method","rt hughes","information and software technology ,","1996.0"
3864,"microcomputer-based control and simulation of an advanced interior permanent magnet ( 1pm )","bk bose , pm szczesny","i ieee",""
3865,"design of an intelligent interface for software planning","md brouwer-janse , m grunes","information and software technology ,","1987.0"
3866,"adaptive equalization of multiple-input multiple-output ( mimo ) channels","am tehrani , b hassibi , jm cioffi","proc . int . contr .",""
3867,"relationship between amplitudes of harmonics and intermodulation frequencies","m callendar","",""
3868,"disposable surgical face masks for preventing surgical wound infection in clean surgery","a lipp , p edwards","cochrane database syst review ,","2002.0"
3869,"'' lc ladder used as broadband prototype for distributed components","js seeley","submitted for",""
3870,"the composition of boards of directors and strategic control : effects on corporate strategy","b baysinger , re hoskisson","the academy of management review ,","1990.0"
3871,"induced vertical mixing in a stratified impoundment by a subsurface warm-water discharge .","k henkel","","1973.0"
3872,"electronic commerce technologies","w kou","","2001.0"
3873,"the lactose permease of escherichia coli : what to do while awaiting crystals of a membrane transport","hr kaback , j wu","acc chem res ,",""
3874,"bandwidth management for the people","f saffre , c hoile , m shackleton","bt technology journal ,","2005.0"
3875,"analysis of the thermal expansion of anisotropic solids : application to zinc","thk barron , rw munn","phil . mag ,",""
3876,"dataguides : enabling query formulation and optimization in semistructured databases , r. goldman , j.","r goldman","vldb",""
3877,"a rigorous approach to formal methods","cb jones","ieee computer ,",""
3878,"the role of body condition on breeding and foraging decisions in albatrosses and petrels","h weimerskirch","proc . int . ornithol . congr ,",""
3879,"andg . hd suciu . aquerylanguageandoptimizationtechniques forunstructured data","p buneman , s davidson","proceedings of acm sigmod conference ,",""
3880,"lecture series on superconductivity","hr ott","eth , zurich , switzerland ,",""
3881,"the doom phenomenon","jr neil","pc magazine ,",""
3882,"guest editors ' introduction : special section on mining and searching the web","b liu , s chakrabarti","ieee transactions on knowledge and data engineering ,","2004.0"
3883,"linguistically informed models of constituent structure for ordering in sentence realization","e ringger , m gamon , m smets , s corston-oliver , r","microsoft research technical report msr-tr-2003-54 ,",""
3884,"the conservation of orbital symmetry , verlag chemie : germany , 1970 ; b ) r. hoffmann , rb woodward","rb woodward","acc . chem . res ,",""
3885,"leviathan","t hobbes","",""
3886,"the motivation to teach : meanings , messages , and morals","jl bess","new directions for teaching and learning . '' motivating & hellip ; ,",""
3887,"graphdb : a data model and query language for graphs in databases","rh gÃ£ 1/4 ting","",""
3888,"mining sequential patterns by pattern-growth : the prefixspan approach","b mortazavi-asl , j wang , h pinto , q chen","ieee transactions on knowledge and data engineering ,","2004.0"
3889,"a hypertext system for cad applications","nm delisle , md schwartz","proceedings of the international conference on management of & hellip ; ,",""
3890,"s. duesbery ms and taylor r 1970","zs basinski","phil . mag ,",""
3891,"the analysis of magnetohydrodynamics and plasma dynamics in metals processing operations","cw chang , j szekely , tw eagar","& hellip ; in metal processing , proceedings , 25 th sagamore army & hellip ; ,","1978.0"
3892,"disruption-tolerant content-aware video streaming","t liu , s nelakuditi","proceedings of the 12th annual acm international conference & hellip ; ,","2004.0"
3893,"scientific and engineering innovation in the world : a new beginning","mc roco","& hellip ; der eidergennossischen technischen hochschule , switzerland ,",""
3894,"adaptive implementation of the internal model principle","h elliott , gc goodwin","proceedings of the 23rd ieee conference on decision and & hellip ; ,",""
3895,"an alternative approach to resource classification","a arik","proc . 28th intern . symp . computer applications in the & hellip ; ,",""
3896,"dopamine versus dobutamine for hypotensive preterm infants","nv subhedar , nj shaw","cochrane database syst rev ,","2003.0"
3897,"incidence of adverse biological effects within ranges of chemical concentrations in marine and","er long , dd macdonald , sl smith , fd calder","","1995.0"
3898,"ontology-driven geographic information systems","ft fonseca , mj egenhofer","",""
3899,"a unified approach for analyzing persistent , non-persistent and onÃ¢ ?? off tcp sessions in the","a gupta , v sharma","",""
3900,"heavily doped semiconductors","f vi","","1969.0"
3901,"an input/output primitive for object-oriented systems .","ms powell","information and software technology ,","1988.0"
3902,"evaluating programs for the homeless","dj rogÃ¢ ? Â¦","new directions for program evaluation ( series no. 52 ) , san & hellip ; ,","1992.0"
3903,"slicing pointers and procedures ( abstract )","md ernst","",""
3904,"multispectral-based color reproduction research at the munsell color science laboratory , electronic","rs berns , fh imai , pd burns , dy tzeng","","1998.0"
3905,"observations on the nature , distribution , and significance of cephalosporinase","pc fleming , m goldner , dg glass","lancet i ,","1963.0"
3906,"embedded operating systems face greater productivity demands","l werner","electronic design ,",""
3907,"a connectionist approach to continuous speech recognition","jp martens","procs forwiss/crim esprit",""
3908,"capturing long memory in the volatility of equity returns : a fractionally integrated asymmetric","th mccurdy , pk michaud","unpublished manuscript ,",""
3909,"management for distributed computing environment-based applications","n winton","bt technology journal ,","1997.0"
3910,"hard-won lessons in program evaluation","m scriven","new directions for program evaluation ,","1993.0"
3911,"developing user interfaces for microsoft windows","en mckay","","1999.0"
3912,"fast paxos","l lamport","",""
3913,"collars and partitions of hyperbolic cone-surfaces","e dryden","submitted for publication ,","2004.0"
3914,"4th icamÃ¢ ?? iumrs conf . ( beijing , 1999 ) physica c","mr koblischka , m muralidhar , m murakami","","2000.0"
3915,"on an asymptotic approach to some problems in scheduling theory","sv sevast ` yanov","papers at ,",""
3916,"the araneus web-base management system","p atzeni , g mecca , p merialdo , a masci , g sindoni","proc . int . conf . sigmod ,",""
3917,"received and perceived social support in times of stress : a test of the social support deterioration","fh norris , k kaniasty","journal of personality and social psychology ,","1996.0"
3918,"the stochastic location model with risk pooling","lv snyder , ms daskin , cp teo","submitted for publication ,","2003.0"
3919,"the galileo imaging team , 1998 . classification of europan ridges and troughs and a possible genetic","rt pappalardo , jw head , nd sherman , r greeley , rj","proc . lunar planet . sci . conf . 29th . lunar and planetary & hellip ; ,",""
3920,"learning disabilities","r baldwin , tj kenny","& hellip ; . seattle , washington : special child publications of the",""
3921,"strukturnaya khimiya","ss batsanov","fakty i",""
3922,"industrial gums : polysaccharides and their derivatives","gh therkelsen","","1993.0"
3923,"decidability and expressiveness aspects of logic queries","o siimueli","proc . 6th acm",""
3924,"user-adaptive exploration of multidimensional data","s sarawagi","vldb ,","2000.0"
3925,"requirements for b-isdn signallingÃ¢ ?? broadband services","rj morley , rr knight","bt technology journal ,","1998.0"
3926,"extending the scope of database services","d bsrbsr","sigmod record ,","1993.0"
3927,"mobile internet : an empirical study of b2c wap applications in italy","u bertelÃ£ ?","electronic markets ,","2002.0"
3928,"bias , responsiveness , swing , majoritarianism and disproportionality : sense and nonsense in the","b monroe","presentedatthe1998politicalmethodologymeeting , san diego ,",""
3929,"m. , and mcclure , w. 0 . ( 1968 )","g edelman","acc . chem .",""
3930,"sharing and first class functions in object-oriented languages","ta budd","submitted for",""
3931,"dew : a dependable web services framework","e alwagait , s ghandeharizadeh","submitted for publication ,","2003.0"
3932,"enrichment of dioxin-dehalogenating bacteria by a two-liquid-phase system with 1 , 2 , 3 -","m bunge , a wagner , jr andreesen , u lechner","",""
3933,"transgenic cotton present and future","gm jividen","proceedings of the 23rd international cotton conference ,",""
3934,"operational support systemsÃ¢ ?? glossary","ig dufour","bt technology journal ,","1997.0"
3935,"multicomplexes , bounded cohomology and additivity of simplicial volume . available at http://front .","t kuessner","",""
3936,"national tall fescue testÃ¢ ?? 1996 . progress report 1997 , ntep no. 98-1 . national turfgrass evaluation","kn morris , r shearman","md ,",""
3937,"lectin binding to rat spermatogenic cells : effects of different fixation methods and proteolytic","r malmi , ko sÃ£ Â¶ derstrÃ£ Â¶ m","the histochemical journal ,","1988.0"
3938,"cancer incidence and survival among children and adolescents : united states seer program 1975-1995 ,","lag ries , ma smith , jg gurney , m linet , t tamra ,","md ,",""
3939,"spatial joins using r-trees : breadth-first traversal with global optimizations","yw huang , n jing , ea rundensteiner","vldb ,","1997.0"
3940,"5 steps to success in lead-free soldering -- step 4 : implement lead-free manufacturing","g diepstraten","electronic production ,",""
3941,"ict and the changing landscape of global tourism distribution","h werthner","electronic markets ,","1999.0"
3942,"the administrator 's role in providing educational excellence .","tj hegarty","new directions for higher education ,","1983.0"
3943,"cutaneous mechanoreceptors and nociceptors","pr burgess , er perl","handbook of sensory physiology ,","1973.0"
3944,"models of man","ha simon","","1957.0"
3945,"parallel index building in informix online 6.0","w davison","",""
3946,"querying object-orienteddatabases","wk michaelkifer , y sagiv","proc . of acm sigmod ,",""
3947,"large scale structures : observations and instrumentation","c balkowski , s gordon","proceedings of the daec ( departement d &#39; astrophysique & hellip ; ,","1988.0"
3948,"lessons from a sensor network expedition","r szewczyk , j polastre , a mainwaring , d culler","lecture notes in computer science ,","2004.0"
3949,"establishing evaluative conclusions : a distinction between general and working logic","dm fournier","new directions for program evaluation ,",""
3950,"h. , g.-m. , and silberschatz , a. 1992 . overview of multidatabase transaction management","y breitbart","vldb",""
3951,"integration von wahrscheinlichkeiten : verarbeitung von zwei wahrscheinlichkeitsinformationen [","t bamert","& hellip ; masterÃ¢ ?? s thesis , university of zurich , switzerland ,",""
3952,"internet keyed payments protocol ( ikp","m linehan , g tsudik","","1995.0"
3953,"wong . m , Ã¢ ?? mining fuzzy association rules in databases , Ã¢ ??","c kuok , a fu","sigmod record-quarterly publication of thespecial interest & hellip ; ,",""
3954,"customer relationship management","k bannon","pc magazine ,",""
3955,"private liberal arts colleges and teacher preparation .","nf daly","new directions for teaching and learning ,","1986.0"
3956,"an introduction to differential flatness of mechanical systems","r murray , m rathinam , m van nieuwstadt","proceedings of ecole dÃ¢ ?? et ! ee , th ! eeorie et practique des & hellip ; ,",""
3957,"importance of ice edges to high-arctic seabirds","msw bradstreet","proc . int . ornithol . congr ,",""
3958,"models of women 's learning : implications for continuing professional education .","k loughlin , v mott","new directions for adult and continuing education ,","1992.0"
3959,"enhancing e-communities with agent-based systems","s case , n azarmi , m thint","",""
3960,"innovation in organization : notes toward a theory","jq wilson","approaches to organization design ,",""
3961,"mining fuzzy implication-based association rules in quantitative databases [ a ]","gq chen , p yan , ee kerre","proceedings of flins2002belgium : world scientific ,",""
3962,"azimuthal surface modes of magnetoactive plasma waveguides","va girka , ia girka , an kondratenko , vi tkachenko","radiotekhnika i elektronika ,","1988.0"
3963,"a modeling study of the tpc-c benchmark , a publication in a conference","st leutengger , d dias","proceedings of the 1993 acm sigmod international conference & hellip ; ,",""
