id,title,authors,venue,year
642,act-net - the active database management system manifesto : a rulebase of adbms features,,sigmod record,1996
643,control strategies for complex relational query processing in shared nothing systems,"l brunie , h kosch",sigmod record,1996
644,generating efficient plans for queries using views,"f afrati , c li , j ullman",sigmod conference,2001
645,mpeg-7 standard for multimedia databases,,,2001
646,on the cost of monitoring and reorganization of object bases for clustering,"c gerlhof , a kemper , g moerkotte",sigmod record,1996
647,modeling high-dimensional index structures using sampling,"c lang , a singh",sigmod conference,2001
648,much ado about shared-nothing,"m norman , t zurek , p thanisch",sigmod record,1996
649,report on first international workshop on real-time database systems,,,1996
650,"data management : lasting impact of the wild , wild , web",r meseck,sigmod conference,2001
651,dissemination of dynamic data,"p deolasee , a katkar , a panchbudhe , k ramamritham , p shenoy",sigmod conference,2001
652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996
653,content integration for e-business,"m stonebraker , j hellerstein",sigmod conference,2001
654,middle east technical university software research and development center,a dogac,sigmod record,1996
655,"fault-tolerant , load-balancing queries in telegraph","m shah , s chandrasekaran",sigmod conference,2001
656,the bess object storage manager : architecture overview,"a biliris , e panagos",sigmod record,1996
657,unisql 's next-generation object-relational database management system,"a d'andrea , p janus",sigmod record,1996
658,online query processing,,,2001
659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996
660,xml data management go native or spruce up relational systems ? ( panel abstract ),p larson,sigmod conference,2001
661,editor 's notes,j widom,sigmod record,1996
662,semantic b2b integration,,,2001
663,scientist 's called upon to take actions,x qian,sigmod record,1996
664,"optimizing queries using materialized views : a practical , scalable solution","j goldstein , p larson",sigmod conference,2001
665,exploiting main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod record,1996
666,review : a real time virtual walkthrough system,"l shou , j chionh , k tan , y ruan , z huang",sigmod conference,2001
667,advances in real-time database systems research,a bestavros,sigmod record,1996
668,updating xml,"i tatarinov , z ives , a halevy , d weld",sigmod conference,2001
669,materialized view selection and maintenance using multi-query optimization,"h mistry , p roy , s sudarshan , k ramamritham",sigmod conference,2001
670,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996
671,enhancing external consistency in real-time transactions,"k lin , s peng",sigmod record,1996
672,efficient and tunable similar set retrieval,"a gionis , d gunopulos , n koudas",sigmod conference,2001
673,snowball : a prototype system for extracting relations from large text collections,"e agichtein , l gravano , j pavel , v sokolova , a voskoboynik",sigmod conference,2001
674,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996
675,optimizing multidimensional index trees for main memory access,"k kim , s cha , k kwon",sigmod conference,2001
676,"database research at the indian institute of technology , bombay","d phatak , n sarda , s seshadri , s sudarshan",sigmod record,1996
677,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong",sigmod record,1996
678,"gangam - a solution to support multiple data models , their mappings and maintenance","k claypool , e rundensteiner , x zhang , h su , h kuno , w lee , g mitchell",sigmod conference,2001
679,securing xml documents : the author-x project demonstration,"e bertino , s castano , e ferrari",sigmod conference,2001
680,real-time database - similarity semantics and resource scheduling,"t kuo , a mok",sigmod record,1996
681,spartan : a model-based semantic compression system for massive data tables,"s babu , m garofalakis , r rastogi",sigmod conference,2001
682,improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996
683,retina : a real-time traffic navigation system,"k lam , e chan , t kuo , s ng , d hung",sigmod conference,2001
684,overview of the stanford real-time information processor ( strip ),"b adelberg , b kao , h garcia-molina",sigmod record,1996
685,space-efficient online computation of quantile summaries,"m greenwald , s khanna",sigmod conference,2001
686,the nimble integration engine,"d draper , a halevy , d weld",sigmod conference,2001
687,temporal database bibliography update,"v tsotras , a kumar",sigmod record,1996
688,orthogonal optimization of subqueries and aggregation,"c galindo-legaria , m joshi",sigmod conference,2001
689,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),,,1996
690,independence is good : dependency-based histogram synopses for high-dimensional data,"a deshpande , m garofalakis , r rastogi",sigmod conference,2001
691,integrating contents and structure in text retrieval,"r baeza-yates , g navarro",sigmod record,1996
692,lifestreams : a storage model for personal data,"e freeman , d gelernter",sigmod record,1996
693,progressive approximate aggregate queries with a multi-resolution tree structure,"i lazaridis , s mehrotra",sigmod conference,2001
694,object query standards,a wade,sigmod record,1996
695,stholes : a multidimensional workload-aware histogram,"n bruno , s chaudhuri , l gravano",sigmod conference,2001
696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996
697,application servers : born-again tp monitors for the web ? ( panel abstract ),c mohan,sigmod conference,2001
698,illustra 's web datablade module,j gaffney,sigmod record,1996
699,proxy-server architectures for olap,"p kalnis , d papadias",sigmod conference,2001
700,mqseries and cics link for lotus notes,,sigmod record,1996
701,efficient and effective metasearch for text databases incorporating linkages among documents,"c yu , w meng , w wu , k liu",sigmod conference,2001
702,"shutdown , budget , and funding",x qian,sigmod record,1996
703,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001
704,www-udk : a web-based environmental meta-information system,"r kramer , r nikolai , a koschel , c rolker , p lockemann , a keitel , r legat , k zirm",sigmod record,1997
705,main-memory index structures with fixed-size partial keys,"p bohannon , p mcilroy , r rastogi",sigmod conference,2001
706,improving access to environmental data using context information,"a tomasic , e simon",sigmod record,1997
707,the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001
708,integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997
709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001
710,"storhouse metanoia - new applications for database , storage & data warehousing","f cariёo , p kostamaa , a kaufmann , j burgess",sigmod conference,2001
711,environment information systems - guest editor 's foreword,,,1997
712,min-max compression methods for medical image databases,"k karadimitriou , j tyler",sigmod record,1997
713,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001
714,improving index performance through prefetching,"s chen , p gibbons , t mowry",sigmod conference,2001
715,mediator languages - a proposal for a standard,"p buneman , l raschid , j ullman",sigmod record,1997
716,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001
717,open gis and on-line environmental libraries,k gardels,sigmod record,1997
718,management of data and services in the environmental information system ( uis ) of baden-wќrttemberg,"w riekert , r mayer-fіll , g wiest",sigmod record,1997
719,\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' '',a sahuguet,sigmod conference,2001
720,dynamic information visualization,y ioannidis,sigmod record,1996
721,selectivity estimation using probabilistic models,"l getoor , b taskar , d koller",sigmod conference,2001
722,"a response to r. camps ' article `` domains , relations and religious wars ''",c date,sigmod record,1996
723,prefer : a system for the efficient execution of multi-parametric ranked queries,"v hristidis , n koudas , y papakonstantinou",sigmod conference,2001
724,opportunities in information management and assurance,x qian,sigmod record,1997
725,mining needle in a haystack : classifying rare classes via two-phase rule induction,"m joshi , r agarwal",sigmod conference,2001
726,query previews for networked information systems : a case study with nasa environmental data,"k doan , c plaisant , b shneiderman , t bruns",sigmod record,1997
727,"probe , count , and classify : categorizing hidden web databases","p ipeirotis , l gravano , m sahami",sigmod conference,2001
728,iceberg-cube computation with pc clusters,"r ng , a wagner , y yin",sigmod conference,2001
729,an orthogonally persistent java,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,1996
730,reconciling schemas of disparate data sources : a machine-learning approach,"a doan , p domingos , a halevy",sigmod conference,2001
731,3d geographic network displays,"k cox , s eick , t he",sigmod record,1996
732,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani",sigmod conference,2001
733,applying database visualization to the world wide web,"m hasan , a mendelzon , d vista",sigmod record,1996
734,a framework for information visualisation,"j kennedy , k mitchell , p barclay",sigmod record,1996
735,time series similarity measures and time series indexing,,,2001
736,vqbd : exploring semistructured data,"s chawathe , t baby , j yeo",sigmod conference,2001
737,the aggregate data problem : a system for their definition and management,"m rafanelli , a bezenchek , l tininini",sigmod record,1996
738,models and languages for describing and discovering e-services,,,2001
739,"information visualization , guest editors ' foreword",,,1996
740,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"a whitney , d shasha",sigmod conference,2001
741,editor 's notes,jennifer widom,sigmod record,1996
742,"in reply to domains , relations and religious wars",h darwen,sigmod record,1996
743,spatial data management for computer aided design,"h kriegel , a mќller , m pіtke , t seidl",sigmod conference,2001
744,monitoring business processes through event correlation based on dependency model,"a adi , d botzer , o etzion , t yatzkar-haham",sigmod conference,2001
745,pixel-oriented database visualizations,d keim,sigmod record,1996
746,minimization of tree pattern queries,"s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001
747,to table or not to table : a hypertabular answer,"g santucci , l tarantino",sigmod record,1996
748,using the golden rule of sampling for query estimation,"y wu , d agrawal , a abbadi",sigmod conference,2001
749,incremental data structures and algorithms for dynamic query interfaces,"e tanin , r beigel , b shneiderman",sigmod record,1996
750,on computing correlated aggregates over continual data streams,"j gehrke , f korn , d srivastava",sigmod conference,2001
751,spotfire : an information exploration environment,c ahlberg,sigmod record,1996
752,new standard for stored procedures in sql,a eisenberg,sigmod record,1996
753,finding generalized projected clusters in high dimensional spaces,"c aggarwal , p yu",sigmod conference,2000
754,"tcp-d - the challenges , issues and results",r bhashyam,sigmod record,1996
755,density biased sampling : an improved method for data mining and clustering,"c palmer , c faloutsos",sigmod conference,2000
756,high speed on-line backup when using logical log operations,d lomet,sigmod conference,2000
757,report from the nsf workshop on workflow and process automation in information systems,,,1996
758,the mariposa distributed database management system,j sidell,sigmod record,1996
759,efficient resumption of interrupted warehouse loads,"w labio , j wiener , h garcia-molina , v gorelik",sigmod conference,2000
760,"domains , relations and religious wars",r camps,sigmod record,1996
761,the prototype of the dare system,"t catarci , g santucci",sigmod conference,2001
762,guidelines for presentation and comparison of indexing techniques,"j zobel , a moffat , k ramamohanarao",sigmod record,1996
763,pbir - perception-based image retrieval,"e chang , t cheng , l chang",sigmod conference,2001
764,will database researchers have any role in data security ? ( panel abstract ),a rosenthal,sigmod conference,2001
765,new programs at darpa and nsf,x qian,sigmod record,1996
766,monitoring xml data on the web,"b nguyen , s abiteboul , g cobena , m preda",sigmod conference,2001
767,editor 's notes,j widom,sigmod record,1996
768,finding replicated web collections,"j cho , n shivakumar , h garcia-molina",sigmod conference,2000
769,a comparison of three user interfaces to relational microcomputer data bases,"c medsker , m christensen , i song",sigmod record,1995
770,efficient and cost-effective techniques for browsing and indexing large video databases,"j oh , k hua",sigmod conference,2000
771,editor 's ( farewell ) notes,,,1995
772,efficient algorithms for mining outliers from large data sets,"s ramaswamy , r rastogi , k shim",sigmod conference,2000
773,implementation aspects of an object-oriented dbms,"a dogac , m altinel , c ozkan , i durusoy",sigmod record,1995
774,hodfa : an architectural framework for homogenizing heterogeneous legacy database,"k karlapalem , q li , c shum",sigmod record,1995
775,designing and mining multi-terabyte astronomy archives : the sloan digital sky survey,"a szalay , p kunszt , a thakar , j gray , d slutz",sigmod conference,2000
776,approximating multi-dimensional aggregate range queries over real attributes,"d gunopulos , g kollios , v tsotras , c domeniconi",sigmod conference,2000
777,a close look at the ifo data model,m hanna,sigmod record,1995
778,an annotated bibliography of benchmarks for object databases,a chaudhri,sigmod record,1995
779,congressional samples for approximate answering of group-by queries,"s acharya , p gibbons , v poosala",sigmod conference,2000
780,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer","f waas , c galindo-legaria",sigmod conference,2000
781,an annotated bibliography on active databases,"u jaeger , j freytag",sigmod record,1995
782,benchmarking queries over trees : learning the hard truth the hard way,"f wattez , s cluet , v benzaken , g ferran , c fiegel",sigmod conference,2000
783,acm multimedia '94 conference workshop on multimedia database management systems,"p berra , k nwosu , b thuraisingham",sigmod record,1995
784,answering complex sql queries using automatic summary tables,"m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",sigmod conference,2000
785,information finding in a digital library : the stanford perspective,"t yan , h garcia-molina",sigmod record,1995
786,"turmoil at nasa , and numerous funding announcements",x qian,sigmod record,1995
787,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000
788,efficient and extensible algorithms for multi query optimization,"p roy , s seshadri , s sudarshan , s bhobe",sigmod conference,2000
789,why decision support fails and how to fix it,"r kimball , k strehlo",sigmod record,1995
790,application of oodb and sgml techniques in text database : an electronic dictionary system,j zhang,sigmod record,1995
791,eddies : continuously adaptive query processing,"r avnur , j hellerstein",sigmod conference,2000
792,normalization in oodb design,b lee,sigmod record,1995
793,a chase too far ?,"l popa , a deutsch , a sahuguet , v tannen",sigmod conference,2000
794,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995
795,a framework for expressing and combining preferences,"r agrawal , e wimmers",sigmod conference,2000
796,addressing techniques used in database object managers o2 and orion,"a gamache , n sahraoui",sigmod record,1995
797,a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000
798,metu interoperable database system,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",sigmod record,1995
799,adaptive multi-stage distance join processing,"h shin , b moon , s lee",sigmod conference,2000
800,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"l liu , c pu , d buttler , w han , h paques , w tang",sigmod conference,2000
801,metadata for digital media : introduction to the special issue,"w klas , a sheth",sigmod record,1994
802,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' '',h wedekind,sigmod record,1994
803,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite,"m gillmann , j weiпenfels , g shegalov , w wonner , g weikum",sigmod conference,2000
804,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",,,2000
805,metadata in video databases,"r jain , a hampapur",sigmod record,1994
806,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994
807,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000
808,data mining on an oltp system ( nearly ) for free,"e riedel , c faloutsos , g ganger , d nagle",sigmod conference,2000
809,a new join algorithm,"d shin , a meltzer",sigmod record,1994
810,mining frequent patterns without candidate generation,"j han , j pei , y yin",sigmod conference,2000
811,data modelling in the large,m bertram,sigmod record,1994
812,editor 's notes and erratum,,,1994
813,on-line reorganization in object databases,"m lakhamraju , r rastogi , s seshadri , s sudarshan",sigmod conference,2000
814,turbo-charging vertical mining of large databases,"p shenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",sigmod conference,2000
815,a metadatabase system for semantic image search by a mathematical model of meaning,"y kiyoki , t kitagawa , t hayama",sigmod record,1994
816,trade press news,,,1995
817,dlfm : a transactional resource manager,"h hsiao , i narang",sigmod conference,2000
818,the database group at university of hagen ( fernuniversitaet ),"g schlageter , t berkel , e heuel , s mittrach , a scherer , w wilkes",sigmod record,1995
819,expressing business rules,r ross,sigmod conference,2000
820,anatomy of a real e-commerce system,a jhingran,sigmod conference,2000
821,calls for papers and announcements,,sigmod record,1995
822,handling very large databases with informix extended parallel server,a weininger,sigmod conference,2000
823,political winds change direction again,x qian,sigmod record,1995
824,fact : a learning based web query processing system,"s chen , y diao , h lu , z tian",sigmod conference,2000
825,implementing deletion in b + - trees,j jannink,sigmod record,1995
826,multigranularity locking in multiple job classes transaction processing system,"s ng , s hung",sigmod record,1995
827,an approximate search engine for structural databases,"j wang , x wang , d shasha , b shapiro , k zhang , x zheng , q ma , z weinberg",sigmod conference,2000
828,concept based design of data warehouses : the dwq demonstrators,"m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou",sigmod conference,2000
829,information systems research at rwth aachen,m jarke,sigmod record,1995
830,ajax : an extensible data cleaning tool,"h galhardas , d florescu , d shasha , e simon",sigmod conference,2000
831,the third manifesto,"h darwen , c date",sigmod record,1995
832,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"w litwin , t schwarz",sigmod conference,2000
833,the database group at national technical university of athens ( ntua ),"t sellis , y vassiliou",sigmod record,1995
834,"opportunities at arpa , nsf , and elsewhere",x qian,sigmod record,1995
835,wsq/dsq : a practical approach for combined querying of databases and the web,"r goldman , j widom",sigmod conference,2000
836,parallelism and its price : a case study of nonstop sql/mp,"s englert , r glasstone , w hasan",sigmod record,1995
837,mocha : a self-extensible database middleware system for distributed data sources,"m rodriguez-martinez , n roussopoulos",sigmod conference,2000
838,sql/cli - a new binding style for sql,"m venkatrao , m pizzo",sigmod record,1995
839,towards self-tuning data placement in parallel database systems,"m lee , m kitsuregawa , b ooi , k tan , a mondal",sigmod conference,2000
840,report on the 1995 international workshop on temporal databases,,,1995
841,webview materialization,"a labrinidis , n roussopoulos",sigmod conference,2000
842,temporal database system implementations,m bіhlen,sigmod record,1995
843,niagaracq : a scalable continuous query system for internet databases,"j chen , d dewitt , f tian , y wang",sigmod conference,2000
844,view maintenance in mobile computing,"o wolfson , a sistla , s dao , k narayanan , r raj",sigmod record,1995
845,terraserver : a spatial data warehouse,"t barclay , d slutz , j gray",sigmod conference,2000
846,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000
847,managing video data in a mobile environment,"r alonso , y chang , l iftode , v mani",sigmod record,1995
848,how to roll a join : asynchronous incremental view maintenance,"k salem , k beyer , r cochrane , b lindsay",sigmod conference,2000
849,mobile computing and databases : anything new ?,"m dunham , a helal",sigmod record,1995
850,wireless client/server computing for personal information services and applications,"a elmagarmid , j jing , t furukawa",sigmod record,1995
851,on wrapping query languages and efficient xml integration,"v christophides , s cluet , j simщon",sigmod conference,2000
852,data and knowledge base research at hong kong university of science and technology,"p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich",sigmod record,1995
853,lof : identifying density-based local outliers,"m breunig , h kriegel , r ng , j sander",sigmod conference,2000
854,synchronizing a database to improve freshness,"j cho , h garcia-molina",sigmod conference,2000
855,from the guest editors - special section on data management issues in mobile computing,"m dunham , a helal",,1995
856,digital library services in mobile computing,"b bhargava , m annamalai , e pitoura",sigmod record,1995
857,spatial join selectivity using power laws,"c faloutsos , b seeger , a traina , c jr.",sigmod conference,2000
858,influence sets based on reverse nearest neighbor queries,"f korn , s muthukrishnan",sigmod conference,2000
859,an annotated bibliography on real-time database systems,ж ulusoy,sigmod record,1995
860,xmill : an efficient compressor for xml data,"h liefke , d suciu",sigmod conference,2000
861,editor 's notes,j widom,sigmod record,1995
862,a research status report on adaptation for mobile data access,"b noble , m satyanarayanan",sigmod record,1995
863,xtract : a system for extracting document type descriptors from xml documents,"m garofalakis , a gionis , r rastogi , s seshadri , k shim",sigmod conference,2000
864,mapping extended entity relationship model to object modeling technique,j fong,sigmod record,1995
865,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ),a nori,sigmod conference,2000
866,index research : forest or trees ? ( panel abstract ),j hellerstein,sigmod conference,2000
867,multi-table joins through bitmapped join indices,"p o'neil , g graefe",sigmod record,1995
868,optimizing jan jannink 's implementation of b + - tree deletion,"r maelbrancke , h olivie",sigmod record,1995
869,from browsing to interacting : dbms support for responive websites ( abstract ),r ramakrishnan,sigmod conference,2000
870,\ response to \ '' \ `` a close look at the ifo data model \ '' \ '' \ '' '',"s abiteboul , r hull",sigmod record,1995
871,sqlem : fast clustering in sql using the em algorithm,"c ordonez , p cereghini",sigmod conference,2000
872,tutorial : data access,,,2000
873,condition handling in sql persistent stored modules,j richey,sigmod record,1995
874,data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995
875,"data management in ecommerce : the good , the bad , and the ugly",,,2000
876,tutorial : designing an ultra highly available dbms,,,2000
877,florida international university high performance database research center,"n rishe , w sun , d barton , y deng , c orji , m alexopoulos , l loureiro , c 0002 , m sanchez , a shaposhnikov",sigmod record,1995
878,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"e pitoura , b bhargava",sigmod record,1995
879,on xml and databases : where 's the beef ? ( panel abstract ),m carey,sigmod conference,2000
880,making b + - trees cache conscious in main memory,"j rao , k ross",sigmod conference,2000
881,an introduction to remy 's fast polymorphic record projection,l wong,sigmod record,1995
882,an aspect of query optimization in multidatabase systems ( extended abstract ),"c lee , c chen , h lu",sigmod record,1995
883,privacy-preserving data mining,"r agrawal , r srikant",sigmod conference,2000
884,design and user testing of a multi-paradigm query interface to an object-oriented database,"d doan , n paton , a kilgour",sigmod record,1995
885,on effective multi-dimensional indexing for strings,"h jagadish , n koudas , d srivastava",sigmod conference,2000
886,editor 's notes,j widom,sigmod record,1995
887,the onion technique : indexing for linear optimization queries,"y chang , l bergman , v castelli , c li , m lo , j smith",sigmod conference,2000
888,internet traffic warehouse,"c chen , m cochinwala , c petrone , m pucci , s samtani , p santa , m mesiti",sigmod conference,2000
889,calls for papers and announcements,,sigmod record,1995
890,indexing images in oracle8i,"m annamalai , r chopra , s defazio",sigmod conference,2000
891,the new middleware,r finkelstein,sigmod record,1995
892,"replication : db2 , oracle , or sybase ?",d stacey,sigmod record,1995
893,online index rebuild,"n ponnekanti , h kodavalla",sigmod conference,2000
894,trade press news,,,1995
895,maintenance of automatic summary tables,"w lehner , r sidle , h pirahesh , r cochrane",sigmod conference,2000
896,trade press news,,,1994
897,integrating replacement policies in storm : an extensible approach,"c goh , b ooi , s bressan , k tan",sigmod conference,2000
898,progress on hpcc and nii,m winslett,sigmod record,1994
899,the mlpq/gis constraint database system,"p revesz , r chen , p kanjamala , y li , y liu , y wang",sigmod conference,2000
900,efficient concurrency control in multidimensional access methods,"k chakrabarti , s mehrotra",sigmod conference,1999
901,analysis of predictive spatio-temporal queries,"y tao , j sun , d papadias",acm trans . database syst .,2003
902,efficient dynamic mining of constrained frequent sets,"l lakshmanan , c leung , r ng",acm trans . database syst .,2003
903,fast algorithms for projected clustering,"c aggarwal , c procopiuc , j wolf , p yu , j park",sigmod conference,1999
904,image mining in iris : integrated retinal information system,"w hsu , m lee , k goh",sigmod conference,2000
905,effective page refresh policies for web crawlers,"j cho , h garcia-molina",acm trans . database syst .,2003
906,preference formulas in relational queries,j chomicki,acm trans . database syst .,2003
907,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katz , z song , j jсjс",sigmod conference,2000
908,tip : a temporal extension to informix,"j yang , h ying , j widom",sigmod conference,2000
909,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003
910,spire : a progressive content-based spatial image retrieval engine,"c li , l bergman , v castelli , j smith",sigmod conference,2000
911,index-driven similarity search in metric spaces,"g hjaltason , h samet",acm trans . database syst .,2003
912,homer : a model-based case tool for data-intensive web sites,"p merialdo , p atzeni , m magnante , g mecca , m pecorone",sigmod conference,2000
913,research perspectives for time series management systems,"w dreyer , a dittrich , d schmidt",sigmod record,1994
914,supporting dynamic displays using active rules,"o dэaz , a jaime , n paton , g al-qaimari",sigmod record,1994
915,javax.xxl : a prototype for a library of query processing algorithms,"j bercken , j dittrich , b seeger",sigmod conference,2000
916,overview of the special section on temporal database infrastructure,r snodgrass,sigmod record,1994
917,"i3 : intelligent , interactive investigaton of olap data cubes","s sarawagi , g sathe",sigmod conference,2000
918,towards data mining benchmarking : a testbed for performance study of frequent pattern mining,"j pei , r mao , k hu , h zhu",sigmod conference,2000
919,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop,,,1994
920,tutorial : ldap directory services - just another database application ?,,,2000
921,tsql2 language specification,"r snodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",sigmod record,1994
922,text databases : a survey of text models and systems,a loeffen,sigmod record,1994
923,self-organizing data sharing communities with sagres,"z ives , a levy , j madhavan , r pottinger , s saroiu , i tatarinov , s betzler , q chen , e jaslikowska , j su , w yeung",sigmod conference,2000
924,the database research group at eth zurich,"m norrie , s blott , h schek , g weikum",sigmod record,1994
925,lambda-db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000
926,influencing database language standards,l gallagher,sigmod record,1994
927,serfing the web : web site management made easy,"e rundensteiner , k claypool , l chen , h su , k oenoki",sigmod conference,2000
928,computing capabilities of mediators,"r yerneni , c li , h garcia-molina , j ullman",sigmod conference,1999
929,understanding the global semantics of referential actions using logic rules,"w may , b ludфscher",acm trans . database syst .,2002
930,efficient geometry-based similarity search of 3d spatial databases,d keim,sigmod conference,1999
931,adaptive algorithms for set containment joins,"s melnik , h garcia-molina",acm trans . database syst .,2003
932,a layered architecture for querying dynamic web content,"h davulcu , j freire , m kifer , i ramakrishnan",sigmod conference,1999
933,information management for genome level bioinformatics,,,2001
934,silkroute : a framework for publishing relational data in xml,"m fernandez , y kadiyska , d suciu , a morishima , w tan",acm trans . database syst .,2002
935,searching in metric spaces with user-defined and approximate distances,"p ciaccia , m patella",acm trans . database syst .,2002
936,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999
937,bottom-up computation of sparse and iceberg cubes,"k beyer , r ramakrishnan",sigmod conference,1999
938,fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",acm trans . database syst .,2002
939,client-site query extensions,"t mayr , p seshadri",sigmod conference,1999
940,searching for dependencies at multiple abstraction levels,"t calders , r ng , j wijsen",acm trans . database syst .,2002
941,a new method for similarity indexing of market basket data,"c aggarwal , j wolf , p yu",sigmod conference,1999
942,locally adaptive dimensionality reduction for indexing large time series databases,"k chakrabarti , e keogh , s mehrotra , m pazzani",acm trans . database syst .,2002
943,cost models for overlapping and multiversion structures,"y tao , d papadias , j zhang",acm trans . database syst .,2002
944,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999
945,an efficient bitmap encoding scheme for selection queries,"c chan , y ioannidis",sigmod conference,1999
946,iterative spatial join,"e jacox , h samet",acm trans . database syst .,2003
947,approximate computation of multidimensional aggregates of sparse data using wavelets,"j vitter , m wang",sigmod conference,1999
948,removing permissions in the flexible authorization framework,"d wijesekera , s jajodia , f parisi-presicce , х hagstrіm",acm trans . database syst .,2003
949,an adaptive query execution system for data integration,"z ives , d florescu , m friedman , a levy , d weld",sigmod conference,1999
950,spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003
951,a comparison of selectivity estimators for range queries on metric attributes,"b blohsfeld , d korus , b seeger",sigmod conference,1999
952,are quorums an alternative for data replication ?,"r jimщnez-peris , m patiёo-martэnez , g alonso , b kemme",acm trans . database syst .,2003
953,belief reasoning in mls deductive databases,h jamil,sigmod conference,1999
954,on the computation of relational view complements,"j lechtenbіrger , g vossen",acm trans . database syst .,2003
955,discovering all most specific sentences,"d gunopulos , r khardon , h mannila , s saluja , h toivonen , r sharm",acm trans . database syst .,2003
956,efficient concurrency control for broadcast environments,"j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",sigmod conference,1999
957,a simple algorithm for finding frequent elements in streams and bags,"r karp , s shenker , c papadimitriou",acm trans . database syst .,2003
958,boat-optimistic decision tree construction,"j gehrke , v ganti , r ramakrishnan , w loh",sigmod conference,1999
959,a multimedia presentation algebra,"s adali , m sapino , v subrahmanian",sigmod conference,1999
960,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori",acm trans . database syst .,2003
961,editor 's notes,a segev,sigmod record,1994
